Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat
55,Male,175,90,Sedentary,Maintain weight,High protein,2200,120,250,60
28,Female,170,65,High,Build muscle,Vegan,2400,140,300,70
62,Female,160,70,Light,Lose weight,High protein,1600,80,180,40
21,Male,190,95,Moderate,Build muscle,High protein,3000,180,400,90
35,Female,168,55,Sedentary,Lose weight,Vegan,1500,80,160,40
68,Female,155,65,Light,Maintain weight,Vegan,1700,80,190,50
25,Female,165,60,Light,Lose weight,High protein,1800,100,200,60
32,Male,180,85,Moderate,Build muscle,High protein,2800,180,300,80
48,Female,170,75,Sedentary,Maintain weight,Vegan,2000,80,220,70
55,Male,175,90,Moderate,Build muscle,Vegan,2500,160,280,70
62,Female,160,65,Light,Lose weight,Vegan,1600,80,180,50
28,Male,190,100,High,Build muscle,High protein,3200,200,350,90
35,Female,168,55,Sedentary,Lose weight,Vegan,1500,70,170,50
42,Male,185,95,Moderate,Maintain weight,Vegan,2400,150,260,70
21,Female,172,58,Light,Lose weight,High protein,1700,90,190,60
58,Male,178,80,Sedentary,Maintain weight,Vegan,2100,70,230,70
25,Male,180,80,Moderate,Lose weight,High protein,2000,120,250,60
38,Female,165,65,Sedentary,Maintain weight,Vegan,1800,80,220,60
62,Male,175,90,Light,Build muscle,High protein,2500,180,300,80
45,Female,170,75,High,Lose weight,Vegan,2200,100,280,60
58,Male,178,85,Sedentary,Maintain weight,High protein,2200,100,270,70
22,Female,160,55,Moderate,Build muscle,Vegan,2000,100,250,60
68,Male,170,70,Light,Lose weight,High protein,1800,80,220,60
30,Female,168,60,High,Build muscle,Vegan,2400,120,300,80
55,Female,165,78,Sedentary,Maintain weight,Vegan,1900,80,230,60
28,Male,185,100,Moderate,Build muscle,High protein,2800,160,350,100
25,Female,165,60,Light,Lose weight,High protein,1800,100,200,60
32,Male,180,85,Moderate,Build muscle,High protein,2800,180,350,80
55,Female,160,70,Sedentary,Lose weight,Vegan,1600,80,180,50
40,Male,190,95,High,Build muscle,Vegan,3200,160,400,90
62,Male,175,80,Moderate,Maintain weight,High protein,2400,140,280,70
28,Female,170,55,Sedentary,Lose weight,Vegan,1500,70,160,40
38,Female,168,65,Light,Maintain weight,Vegan,2000,90,220,60
58,Male,178,85,Moderate,Build muscle,Vegan,2800,150,350,80
22,Male,185,90,High,Build muscle,High protein,3000,170,380,80
45,Female,172,75,Sedentary,Lose weight,Vegan,1700,80,190,50
28,Female,165,55,Light,Lose weight,High protein,1800,75,200,50
55,Male,180,90,Moderate,Maintain weight,Vegan,2500,90,300,70
32,Female,170,60,High,Build muscle,Vegan,2400,100,350,60
22,Male,190,85,Sedentary,Lose weight,High protein,2000,80,250,55
62,Female,160,70,Moderate,Maintain weight,Vegan,1800,70,220,50
25,Male,185,95,Light,Build muscle,High protein,2800,120,380,80
40,Female,175,75,High,Lose weight,Vegan,2000,80,250,55
38,Male,178,80,Sedentary,Maintain weight,Vegan,2200,85,280,65
20,Female,168,50,Light,Build muscle,High protein,2200,90,300,60
58,Male,175,85,Moderate,Maintain weight,Vegan,2300,80,300,70
25,Male,175,75,Moderate,Lose weight,High protein,2200,150,250,60
38,Female,165,60,Light,Maintain weight,Vegan,1800,100,200,50
55,Male,180,90,Sedentary,Lose weight,High protein,1800,120,200,40
62,Female,160,70,Sedentary,Maintain weight,Vegan,1600,80,180,40
28,Female,170,65,High,Build muscle,High protein,2500,180,300,80
32,Male,185,85,Moderate,Lose weight,Vegan,2000,140,220,50
68,Male,170,80,Light,Lose weight,High protein,1600,100,180,40
45,Female,165,65,High,Build muscle,Vegan,2300,150,280,70
72,Female,155,55,Sedentary,Maintain weight,High protein,1400,70,160,30
21,Male,190,95,Moderate,Lose weight,High protein,2400,160,280,60
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,250,60
30,Female,165,65,Light,Build muscle,Vegan,2000,100,200,60
55,Male,175,90,Sedentary,Lose weight,High protein,1800,90,180,50
22,Female,170,55,High,Build muscle,Vegan,2500,130,300,70
60,Female,155,60,Moderate,Maintain weight,Vegan,1600,70,160,40
28,Male,190,100,High,Lose weight,High protein,2800,150,350,80
35,Female,160,50,Light,Build muscle,Vegan,1800,90,180,50
48,Male,185,95,Moderate,Maintain weight,High protein,2200,110,220,60
65,Male,170,75,Sedentary,Lose weight,High protein,1500,70,150,40
19,Female,168,58,High,Build muscle,Vegan,2300,120,280,60
25,Male,180,85,Moderate,Lose weight,High protein,2200,120,250,60
38,Female,165,68,Light,Maintain weight,Vegan,1800,80,220,50
55,Male,175,95,Sedentary,Lose weight,Vegan,1900,85,200,45
22,Female,160,55,High,Build muscle,High protein,2500,150,300,75
62,Female,168,72,Sedentary,Maintain weight,Vegan,1700,75,180,40
30,Male,190,100,Moderate,Build muscle,High protein,3000,180,350,90
28,Female,170,65,Light,Lose weight,Vegan,1600,70,180,45
40,Male,185,90,High,Lose weight,High protein,2500,130,280,70
21,Female,168,58,Light,Maintain weight,Vegan,1800,75,200,50
58,Male,178,88,Sedentary,Lose weight,High protein,1800,80,200,50
25,Female,165,58,Moderate,Lose weight,High protein,1800,100,200,50
32,Male,180,85,Light,Build muscle,High protein,2500,150,300,70
55,Female,160,70,Sedentary,Lose weight,Vegan,1500,80,150,40
40,Male,190,95,Moderate,Maintain weight,Vegan,2200,120,250,60
68,Female,155,62,Sedentary,Lose weight,Vegan,1400,70,130,35
28,Male,175,78,High,Build muscle,High protein,3000,180,350,80
35,Female,170,65,Light,Maintain weight,Vegan,1900,90,200,55
52,Male,185,100,High,Build muscle,Vegan,2800,160,300,80
22,Female,168,55,Moderate,Lose weight,Vegan,1600,80,180,40
47,Male,178,80,Sedentary,Maintain weight,High protein,2100,110,230,60
28,Female,165,60,Light,Lose weight,High protein,1800,100,200,60
35,Male,180,80,Moderate,Maintain weight,Vegan,2500,100,300,80
55,Female,160,75,Sedentary,Lose weight,Vegan,1500,75,150,40
62,Male,175,90,Moderate,Lose weight,High protein,2200,120,250,70
22,Female,170,55,High,Build muscle,High protein,2400,150,300,80
40,Male,185,100,Light,Build muscle,Vegan,2800,120,350,90
68,Female,155,65,Sedentary,Maintain weight,High protein,1800,80,200,60
70,Male,170,85,Sedentary,Lose weight,Vegan,1700,80,180,50
33,Female,168,70,High,Maintain weight,High protein,2200,100,250,70
25,Male,190,95,Moderate,Build muscle,Vegan,2500,120,300,80
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,200,60
55,Female,165,70,Sedentary,Maintain weight,Vegan,1800,80,250,50
32,Male,190,95,High,Build muscle,High protein,3000,160,350,80
68,Female,170,65,Light,Lose weight,Vegan,1500,70,180,40
42,Male,185,100,High,Lose weight,High protein,2500,140,220,70
58,Female,160,55,Sedentary,Maintain weight,Vegan,1600,60,200,40
35,Male,178,85,Light,Lose weight,Vegan,2000,100,180,50
72,Male,175,75,Sedentary,Maintain weight,Vegan,1700,70,210,40
48,Female,168,68,Moderate,Maintain weight,High protein,1900,80,230,50
25,Male,180,85,Moderate,Lose weight,High protein,2200,150,250,70
32,Female,165,60,Sedentary,Lose weight,Vegan,1800,80,200,60
55,Female,160,75,Light,Maintain weight,Vegan,1900,85,220,65
40,Male,185,95,High,Build muscle,High protein,3000,200,350,100
28,Female,170,70,Moderate,Build muscle,Vegan,2400,140,280,80
62,Male,175,80,Light,Maintain weight,High protein,2100,110,240,70
35,Female,168,65,Moderate,Lose weight,Vegan,1900,90,220,65
22,Male,190,90,High,Build muscle,High protein,3200,220,380,110
48,Female,172,78,Sedentary,Maintain weight,Vegan,2000,95,230,70
21,Male,183,82,Moderate,Build muscle,Vegan,2800,170,320,90
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,250,60
32,Female,165,65,Light,Maintain weight,Vegan,1800,80,220,50
58,Male,175,95,Sedentary,Lose weight,High protein,1800,100,200,50
28,Female,170,70,High,Build muscle,Vegan,2500,150,300,70
62,Female,160,75,Sedentary,Lose weight,Vegan,1600,70,180,40
45,Male,185,105,Moderate,Lose weight,High protein,2000,110,220,60
21,Female,168,55,Light,Build muscle,Vegan,2000,100,250,60
68,Male,170,85,Sedentary,Maintain weight,High protein,1800,80,200,50
35,Female,172,68,High,Build muscle,Vegan,2400,140,280,70
55,Female,158,60,Sedentary,Lose weight,Vegan,1500,60,160,40
25,Female,165,55,Light,Lose weight,High protein,1800,70,180,50
58,Male,180,90,Moderate,Maintain weight,Vegan,2500,90,250,70
32,Female,170,65,Sedentary,Lose weight,Vegan,1500,60,150,40
62,Male,175,85,High,Maintain weight,High protein,3000,120,300,80
28,Female,160,50,Light,Build muscle,Vegan,2000,80,200,60
45,Male,185,100,Moderate,Lose weight,High protein,2200,100,220,60
68,Female,162,60,Sedentary,Maintain weight,Vegan,1800,70,180,50
35,Male,190,80,High,Build muscle,High protein,3200,140,320,90
21,Female,172,58,Light,Lose weight,Vegan,1700,65,170,45
55,Male,178,82,Moderate,Maintain weight,Vegan,2400,90,240,70
25,Male,180,85,Moderate,Lose weight,High protein,2000,120,250,60
32,Female,165,60,Light,Maintain weight,Vegan,1800,80,220,50
55,Male,175,90,Sedentary,Lose weight,High protein,1800,100,200,50
68,Female,160,70,Sedentary,Maintain weight,Vegan,1600,70,180,40
28,Male,190,100,High,Build muscle,High protein,3000,180,350,80
42,Female,170,75,Moderate,Lose weight,Vegan,1500,80,180,40
38,Male,185,95,Light,Build muscle,High protein,2800,160,300,70
52,Female,165,65,Sedentary,Lose weight,Vegan,1400,70,150,30
22,Female,170,55,High,Build muscle,Vegan,2500,120,280,60
48,Male,175,80,Moderate,Maintain weight,High protein,2200,100,250,60
25,Male,180,85,Moderate,Lose weight,High protein,2200,120,250,60
38,Female,165,68,Sedentary,Maintain weight,Vegan,1800,80,200,50
55,Male,175,90,Light,Lose weight,High protein,2000,100,220,55
62,Female,160,75,Sedentary,Lose weight,Vegan,1600,70,180,45
28,Male,190,100,High,Build muscle,High protein,3000,180,350,80
32,Female,170,65,Moderate,Build muscle,Vegan,2000,100,220,55
68,Male,170,80,Light,Maintain weight,High protein,1800,80,200,50
21,Female,165,55,High,Build muscle,Vegan,2200,100,250,60
45,Male,185,95,Moderate,Lose weight,High protein,2000,100,220,55
70,Female,155,60,Sedentary,Maintain weight,Vegan,1400,60,160,40
25,Female,165,58,Moderate,Lose weight,High protein,1800,80,200,60
32,Male,180,90,Light,Build muscle,Vegan,2500,120,300,80
55,Female,160,65,Sedentary,Lose weight,Vegan,1500,60,150,40
48,Male,185,105,High,Build muscle,High protein,3200,160,400,100
38,Male,175,75,Moderate,Lose weight,Vegan,2000,90,220,70
21,Female,170,60,Light,Build muscle,High protein,2200,100,250,80
58,Male,178,80,Sedentary,Maintain weight,High protein,2000,80,200,60
70,Female,162,68,Sedentary,Lose weight,Vegan,1400,50,140,40
42,Male,190,100,High,Build muscle,Vegan,3000,150,350,90
25,Male,180,85,Moderate,Lose weight,High protein,2200,120,250,60
62,Female,165,70,Light,Maintain weight,Vegan,1800,70,200,50
38,Male,190,95,High,Build muscle,High protein,3000,180,350,80
45,Female,170,65,Sedentary,Lose weight,Vegan,1600,80,180,40
22,Female,160,55,Moderate,Lose weight,Vegan,1800,70,200,50
58,Male,175,80,Moderate,Maintain weight,High protein,2000,100,220,60
30,Male,185,90,High,Build muscle,High protein,2800,160,300,70
28,Female,170,60,Sedentary,Lose weight,Vegan,1500,70,160,40
68,Female,155,60,Light,Maintain weight,Vegan,1700,60,180,40
42,Male,180,80,High,Build muscle,High protein,2600,150,280,70
25,Male,180,85,Moderate,Lose weight,High protein,2000,125,250,60
32,Female,165,60,Light,Maintain weight,Vegan,1800,90,225,50
58,Male,175,95,Sedentary,Lose weight,High protein,1800,115,225,55
28,Female,170,70,High,Build muscle,Vegan,2500,150,300,80
62,Female,160,75,Sedentary,Lose weight,Vegan,1600,80,200,40
40,Male,185,90,Moderate,Build muscle,High protein,2800,175,350,90
35,Female,168,55,Light,Maintain weight,High protein,1900,100,230,60
22,Male,190,100,High,Lose weight,Vegan,2200,130,275,70
65,Male,170,80,Sedentary,Maintain weight,High protein,1700,95,210,50
48,Female,163,65,Light,Lose weight,Vegan,1500,75,185,40
25,Male,185,85,Moderate,Lose weight,High protein,2200,150,250,60
38,Female,165,65,Light,Build muscle,Vegan,2000,120,200,50
62,Female,160,70,Sedentary,Maintain weight,Vegan,1800,80,220,50
45,Male,190,95,High,Build muscle,High protein,3000,200,350,80
28,Female,170,58,Moderate,Lose weight,High protein,1800,100,200,50
55,Male,175,80,Sedentary,Lose weight,High protein,1800,110,220,50
22,Female,168,62,Light,Build muscle,Vegan,2000,100,250,50
30,Male,180,78,Moderate,Build muscle,High protein,2500,180,300,70
68,Male,170,75,Sedentary,Maintain weight,High protein,1600,80,180,40
35,Female,175,72,High,Lose weight,Vegan,2000,120,240,60
25,Female,165,55,Light,Lose weight,High protein,1800,80,200,60
32,Male,180,85,Moderate,Build muscle,High protein,2800,150,300,80
55,Female,160,68,Sedentary,Lose weight,Vegan,1500,70,150,40
28,Male,190,95,High,Build muscle,Vegan,3200,180,400,100
62,Male,175,80,Light,Maintain weight,High protein,2200,100,250,60
21,Female,170,60,Moderate,Lose weight,Vegan,1600,70,180,50
48,Female,168,75,Sedentary,Maintain weight,Vegan,1800,80,200,60
35,Male,185,100,High,Build muscle,High protein,3000,160,350,90
40,Male,178,88,Moderate,Build muscle,High protein,2600,140,280,80
25,Male,180,85,Moderate,Lose weight,High protein,2200,120,200,60
32,Female,165,68,Light,Build muscle,Vegan,2000,100,250,60
55,Male,175,95,Sedentary,Maintain weight,High protein,2000,80,250,60
28,Female,170,72,High,Lose weight,Vegan,1800,80,180,50
62,Female,160,65,Light,Lose weight,Vegan,1600,60,150,40
40,Male,185,90,Moderate,Build muscle,High protein,2500,150,300,80
38,Female,172,78,Sedentary,Maintain weight,High protein,1800,80,200,60
22,Male,190,105,High,Build muscle,Vegan,2800,130,350,90
19,Female,168,55,Moderate,Lose weight,Vegan,1800,70,180,50
45,Male,178,82,Light,Build muscle,High protein,2300,110,270,70
25,Female,165,58,Light,Lose weight,High protein,1800,80,200,60
32,Male,180,85,Moderate,Build muscle,High protein,2800,150,300,80
58,Female,160,70,Sedentary,Lose weight,Vegan,1500,70,150,40
65,Male,175,90,Light,Maintain weight,Vegan,2200,80,250,60
42,Female,170,65,Moderate,Lose weight,Vegan,1900,70,220,50
38,Male,185,95,High,Build muscle,High protein,3200,170,350,90
28,Female,162,55,Sedentary,Lose weight,Vegan,1600,65,180,45
62,Male,170,80,Moderate,Maintain weight,Vegan,2000,75,220,55
21,Female,158,48,Light,Lose weight,High protein,1500,60,170,45
55,Male,178,88,Sedentary,Maintain weight,Vegan,1900,70,200,55
25,Male,180,80,Moderate,Lose weight,High protein,2000,120,180,50
32,Female,165,65,Sedentary,Maintain weight,Vegan,1800,80,220,60
55,Female,160,75,Light,Lose weight,Vegan,1600,70,150,40
40,Male,190,95,High,Build muscle,High protein,3000,180,270,80
62,Male,175,85,Sedentary,Maintain weight,High protein,2200,100,200,70
28,Female,170,55,Moderate,Build muscle,Vegan,2400,110,240,70
35,Male,185,110,High,Lose weight,High protein,2500,150,200,60
22,Female,160,50,Light,Build muscle,Vegan,2200,100,220,60
48,Male,180,90,Moderate,Lose weight,High protein,2100,130,170,50
58,Female,155,60,Sedentary,Maintain weight,Vegan,1500,60,130,40
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,200,60
32,Female,165,65,Light,Lose weight,Vegan,1800,80,180,50
55,Male,175,95,Sedentary,Maintain weight,High protein,2400,100,250,70
28,Female,170,72,High,Build muscle,Vegan,2600,130,280,70
62,Female,160,60,Sedentary,Lose weight,Vegan,1600,60,150,40
38,Male,190,105,Moderate,Build muscle,High protein,3000,160,300,90
22,Female,168,58,Light,Maintain weight,Vegan,1900,70,200,60
40,Male,178,85,High,Lose weight,Vegan,2400,120,220,60
27,Female,172,68,Moderate,Lose weight,High protein,1900,90,180,50
58,Male,182,100,Light,Maintain weight,Vegan,2200,80,200,60
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,250,60
32,Female,165,65,Sedentary,Maintain weight,Vegan,1800,80,200,50
58,Female,160,70,Light,Lose weight,Vegan,1600,70,180,40
40,Male,190,95,High,Build muscle,High protein,3000,180,350,80
62,Male,175,85,Light,Lose weight,Vegan,1800,80,200,50
38,Female,170,75,Moderate,Maintain weight,Vegan,2000,80,220,60
28,Male,185,90,High,Build muscle,High protein,3200,200,400,90
55,Female,155,60,Sedentary,Lose weight,Vegan,1400,60,160,30
70,Male,170,75,Light,Maintain weight,High protein,1800,80,200,50
22,Female,168,55,Moderate,Lose weight,Vegan,1600,70,180,40
25,Female,165,55,Moderate,Lose weight,High protein,1800,75,200,60
32,Male,180,85,Light,Build muscle,High protein,2800,150,300,80
58,Female,160,68,Sedentary,Lose weight,Vegan,1500,60,170,40
40,Male,190,95,High,Build muscle,High protein,3500,200,400,100
62,Female,155,50,Sedentary,Lose weight,Vegan,1400,50,150,30
28,Male,175,70,Moderate,Maintain weight,High protein,2500,100,250,70
65,Male,170,75,Light,Lose weight,High protein,1700,70,180,50
35,Female,168,60,High,Build muscle,Vegan,2500,100,300,70
48,Male,185,100,Moderate,Lose weight,High protein,2200,90,220,60
22,Female,170,58,Light,Maintain weight,Vegan,2000,80,200,60
25,Female,165,55,Moderate,Lose weight,High protein,1800,100,200,60
38,Male,180,85,Light,Build muscle,High protein,2800,160,300,80
55,Female,160,65,Sedentary,Lose weight,Vegan,1500,75,150,45
62,Male,175,90,Moderate,Maintain weight,Vegan,2400,120,280,70
28,Female,170,60,High,Build muscle,Vegan,2500,140,300,70
42,Male,185,95,Light,Build muscle,High protein,2600,150,280,80
58,Female,155,50,Sedentary,Lose weight,Vegan,1400,70,140,40
33,Male,190,100,Moderate,Maintain weight,Vegan,2600,130,300,70
21,Female,168,58,High,Build muscle,High protein,2400,130,280,70
68,Male,170,75,Light,Lose weight,High protein,1800,90,180,50
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,250,60
38,Female,165,65,Light,Maintain weight,Vegan,1800,80,200,50
62,Male,175,90,Sedentary,Lose weight,High protein,1800,100,200,50
45,Female,170,75,High,Build muscle,Vegan,2500,140,300,80
58,Male,185,105,Moderate,Lose weight,High protein,2000,110,220,60
22,Female,160,50,Light,Lose weight,Vegan,1600,70,180,40
70,Female,155,55,Sedentary,Lose weight,Vegan,1400,70,160,40
30,Male,190,95,High,Build muscle,High protein,3000,180,350,100
42,Female,168,60,Moderate,Maintain weight,Vegan,1800,80,200,50
55,Male,178,85,Sedentary,Lose weight,High protein,1800,100,200,50
25,Female,165,58,Moderate,Lose weight,High protein,1800,100,200,60
38,Male,180,85,Light,Maintain weight,Vegan,2500,120,300,80
55,Female,160,70,Sedentary,Lose weight,Vegan,1500,80,150,50
62,Male,175,95,Moderate,Maintain weight,High protein,2800,140,350,100
28,Female,170,65,High,Build muscle,Vegan,2400,130,300,80
32,Male,185,90,Light,Lose weight,High protein,2200,110,250,70
58,Female,155,62,Sedentary,Lose weight,Vegan,1400,70,140,40
40,Male,190,110,High,Build muscle,High protein,3200,160,400,120
21,Female,168,55,Light,Maintain weight,Vegan,2000,90,220,60
70,Male,170,75,Sedentary,Maintain weight,High protein,2000,100,250,70
25,Male,180,80,Moderate,Build muscle,High protein,2800,180,350,80
32,Female,165,65,Light,Lose weight,Vegan,1800,100,200,50
58,Male,175,90,Sedentary,Lose weight,High protein,2000,120,250,60
62,Female,160,70,Moderate,Maintain weight,Vegan,1900,90,220,60
28,Male,190,100,High,Build muscle,High protein,3200,200,400,100
45,Female,170,75,Light,Lose weight,Vegan,1600,80,180,40
30,Male,185,95,Moderate,Build muscle,Vegan,2800,180,350,80
65,Female,155,60,Sedentary,Maintain weight,High protein,1700,80,200,50
22,Female,168,55,High,Build muscle,Vegan,2400,140,300,70
50,Male,170,85,Light,Lose weight,Vegan,1900,100,220,60
25,Male,180,80,Moderate,Lose weight,High protein,2000,150,250,60
32,Female,165,60,Sedentary,Maintain weight,Vegan,1800,100,220,50
55,Male,175,90,Light,Lose weight,High protein,1800,130,200,60
28,Female,170,70,High,Build muscle,Vegan,2500,175,350,80
40,Male,190,110,Moderate,Lose weight,High protein,2200,160,280,70
62,Female,160,55,Sedentary,Maintain weight,Vegan,1500,80,180,40
22,Male,185,95,High,Build muscle,High protein,3000,200,400,100
38,Female,168,65,Light,Lose weight,Vegan,1600,100,200,50
27,Female,172,75,Moderate,Maintain weight,Vegan,2000,120,250,60
45,Male,180,100,High,Lose weight,High protein,2400,180,300,80
32,Female,165,65,Light,Maintain weight,Vegan,1800,80,200,50
55,Male,175,90,Sedentary,Lose weight,High protein,1800,100,200,50
28,Female,170,70,High,Build muscle,Vegan,2500,150,300,70
48,Female,160,60,Sedentary,Maintain weight,Vegan,1600,70,180,40
62,Male,170,85,Light,Lose weight,High protein,1800,100,200,50
22,Female,168,55,Moderate,Build muscle,Vegan,2200,120,250,60
38,Male,185,100,High,Build muscle,High protein,3000,180,350,80
21,Female,158,50,Moderate,Lose weight,Vegan,1800,80,200,50
58,Female,163,75,Sedentary,Maintain weight,Vegan,1600,70,180,40
25,Female,165,58,Light,Lose weight,High protein,1800,80,250,60
38,Male,180,85,Moderate,Build muscle,High protein,2800,150,350,80
62,Female,160,65,Sedentary,Lose weight,Vegan,1500,70,200,40
28,Male,185,90,High,Build muscle,Vegan,3200,180,400,80
45,Female,170,70,Light,Lose weight,Vegan,1700,75,220,50
58,Male,175,80,Sedentary,Maintain weight,High protein,2200,100,280,60
32,Female,168,62,Moderate,Build muscle,Vegan,2400,120,300,70
70,Male,170,75,Light,Lose weight,Vegan,1600,70,210,40
19,Female,163,55,High,Build muscle,High protein,2600,140,320,70
55,Male,183,95,Sedentary,Maintain weight,Vegan,2000,90,250,50
25,Male,180,80,Moderate,Lose weight,High protein,2000,120,250,60
32,Female,165,65,Light,Lose weight,Vegan,1600,80,180,50
55,Male,175,95,Sedentary,Maintain weight,Vegan,2200,100,300,70
68,Female,160,70,Light,Lose weight,High protein,1400,70,150,40
28,Male,185,90,High,Build muscle,High protein,3000,180,400,80
38,Female,170,75,Moderate,Maintain weight,Vegan,1800,80,220,60
58,Male,170,85,Sedentary,Maintain weight,High protein,2000,80,250,60
42,Female,168,60,High,Build muscle,Vegan,2200,100,300,70
21,Male,190,100,Moderate,Build muscle,Vegan,2800,140,350,90
62,Female,155,55,Sedentary,Lose weight,Vegan,1200,60,120,30
25,Male,180,80,Moderate,Lose weight,High protein,2000,120,250,60
32,Female,165,65,Sedentary,Lose weight,Vegan,1600,80,200,40
58,Male,175,95,Light,Maintain weight,Vegan,2200,100,300,65
40,Female,170,72,Moderate,Build muscle,High protein,2500,150,350,80
28,Male,185,90,High,Build muscle,Vegan,3000,180,400,90
62,Female,160,60,Sedentary,Maintain weight,High protein,1800,80,220,50
35,Male,190,100,High,Lose weight,Vegan,2400,140,300,70
22,Female,168,55,Light,Lose weight,Vegan,1500,70,180,40
55,Male,178,85,Sedentary,Maintain weight,High protein,2000,100,250,60
48,Female,172,78,Moderate,Lose weight,Vegan,1800,90,220,50
25,Male,180,85,Moderate,Lose weight,High protein,2200,120,250,60
38,Female,165,68,Light,Maintain weight,Vegan,1800,80,200,50
55,Male,175,95,Sedentary,Lose weight,Vegan,1800,80,200,50
62,Female,160,70,Light,Lose weight,Vegan,1500,70,175,40
28,Male,190,90,High,Build muscle,High protein,3000,160,350,80
40,Female,170,75,Moderate,Build muscle,Vegan,2200,100,250,60
